epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,107.943,1.85563,0.77516,0.97461,0.72912,0.000207954,0.000207954,0.000207954
2,217.902,0.91594,0.8359,0.98277,0.52343,0.00040255,0.00040255,0.00040255
3,329.416,0.72663,0.8495,0.98277,0.49825,0.000583396,0.000583396,0.000583396
4,434.254,0.66369,0.8631,0.98549,0.45619,0.000563125,0.000563125,0.000563125
5,553.621,0.58092,0.8767,0.99093,0.4293,0.0005425,0.0005425,0.0005425
6,664.611,0.52762,0.87942,0.98912,0.41546,0.000521875,0.000521875,0.000521875
7,774.557,0.4945,0.87217,0.98821,0.43015,0.00050125,0.00050125,0.00050125
8,889.406,0.45483,0.88395,0.98912,0.41188,0.000480625,0.000480625,0.000480625
9,998.266,0.44618,0.88577,0.99365,0.43603,0.00046,0.00046,0.00046
10,1084.16,0.40164,0.88939,0.98821,0.41406,0.000439375,0.000439375,0.000439375
11,1170.73,0.37508,0.90118,0.99275,0.38159,0.00041875,0.00041875,0.00041875
12,1257.95,0.36603,0.89665,0.99184,0.39044,0.000398125,0.000398125,0.000398125
13,1342.82,0.34844,0.88758,0.99365,0.39611,0.0003775,0.0003775,0.0003775
14,1428.23,0.34209,0.89393,0.99365,0.38871,0.000356875,0.000356875,0.000356875
15,1513.34,0.30787,0.88939,0.99093,0.40243,0.00033625,0.00033625,0.00033625
16,1605.28,0.31021,0.88214,0.99456,0.40237,0.000315625,0.000315625,0.000315625
17,1702.97,0.28828,0.90481,0.99365,0.37147,0.000295,0.000295,0.000295
18,1810.08,0.23902,0.89574,0.99184,0.37793,0.000274375,0.000274375,0.000274375
19,1921.42,0.25642,0.90118,0.99184,0.36438,0.00025375,0.00025375,0.00025375
20,2017.31,0.27416,0.89665,0.99093,0.36655,0.000233125,0.000233125,0.000233125
21,2105.74,0.23476,0.90118,0.99275,0.38347,0.0002125,0.0002125,0.0002125
22,2194.7,0.23759,0.88758,0.99184,0.38721,0.000191875,0.000191875,0.000191875
23,2283.12,0.22153,0.90209,0.99184,0.37796,0.00017125,0.00017125,0.00017125
24,2386.21,0.20649,0.89665,0.99003,0.38681,0.000150625,0.000150625,0.000150625
25,2518.95,0.19719,0.90027,0.99365,0.37826,0.00013,0.00013,0.00013
26,2689.87,0.20513,0.90299,0.99365,0.38766,0.000109375,0.000109375,0.000109375
27,2824.47,0.1939,0.90662,0.99547,0.37259,8.875e-05,8.875e-05,8.875e-05
28,2957.79,0.19471,0.90481,0.99184,0.37524,6.8125e-05,6.8125e-05,6.8125e-05
29,3089.24,0.19391,0.91296,0.99547,0.35904,4.75e-05,4.75e-05,4.75e-05
30,3223.98,0.1953,0.91296,0.99365,0.358,2.6875e-05,2.6875e-05,2.6875e-05
